Nombre,Precio,Peso,Tienda,Id,FechaCreacion
Arroz,4.74,1.0,Wong,1,2025-02-21
Pan,2.79,0.5,Wong,2,2025-02-21
Pollo,14.19,1.5,Wong,3,2025-02-21
Huevos,9.79,1.0,Wong,4,2025-02-21
Aceite vegetal,11.59,1.0,Wong,5,2025-02-21
Azúcar,4.29,1.0,Wong,6,2025-02-21
Arroz,3.74,1.0,Plaza Vea,7,2025-02-21
Pan,2.69,0.5,Plaza Vea,8,2025-02-21
Pollo,11.39,1.5,Plaza Vea,9,2025-02-21
Huevos,7.79,1.0,Plaza Vea,10,2025-02-21
Aceite vegetal,9.89,1.0,Plaza Vea,11,2025-02-21
Azúcar,3.69,1.0,Plaza Vea,12,2025-02-21
Arroz,5.54,1.0,Vivanda,13,2025-02-21
Pan,3.49,0.5,Vivanda,14,2025-02-21
Pollo,16.49,1.5,Vivanda,15,2025-02-21
Huevos,11.39,1.0,Vivanda,16,2025-02-21
Aceite vegetal,13.59,1.0,Vivanda,17,2025-02-21
Azúcar,4.79,1.0,Vivanda,18,2025-02-21
