Nombre,Precio,Peso,Tienda,Id,FechaCreacion
Arroz,4.84,1.0,Wong,1,2025-02-12
Pan,3.09,0.5,Wong,2,2025-02-12
Pollo,14.09,1.5,Wong,3,2025-02-12
Huevos,9.39,1.0,Wong,4,2025-02-12
Aceite vegetal,11.59,1.0,Wong,5,2025-02-12
Azúcar,4.29,1.0,Wong,6,2025-02-12
Arroz,4.04,1.0,Plaza Vea,7,2025-02-12
Pan,2.69,0.5,Plaza Vea,8,2025-02-12
Pollo,11.79,1.5,Plaza Vea,9,2025-02-12
Huevos,8.09,1.0,Plaza Vea,10,2025-02-12
Aceite vegetal,9.59,1.0,Plaza Vea,11,2025-02-12
Azúcar,3.59,1.0,Plaza Vea,12,2025-02-12
Arroz,5.54,1.0,Vivanda,13,2025-02-12
Pan,3.19,0.5,Vivanda,14,2025-02-12
Pollo,16.19,1.5,Vivanda,15,2025-02-12
Huevos,11.29,1.0,Vivanda,16,2025-02-12
Aceite vegetal,13.59,1.0,Vivanda,17,2025-02-12
Azúcar,4.79,1.0,Vivanda,18,2025-02-12
