Nombre,Precio,Peso,Tienda,Id,FechaCreacion
Arroz,4.44,1.0,Wong,1,2025-02-18
Pan,3.19,0.5,Wong,2,2025-02-18
Pollo,14.19,1.5,Wong,3,2025-02-18
Huevos,9.39,1.0,Wong,4,2025-02-18
Aceite vegetal,11.59,1.0,Wong,5,2025-02-18
Azúcar,4.19,1.0,Wong,6,2025-02-18
Arroz,4.04,1.0,Plaza Vea,7,2025-02-18
Pan,2.39,0.5,Plaza Vea,8,2025-02-18
Pollo,11.39,1.5,Plaza Vea,9,2025-02-18
Huevos,8.09,1.0,Plaza Vea,10,2025-02-18
Aceite vegetal,9.99,1.0,Plaza Vea,11,2025-02-18
Azúcar,3.69,1.0,Plaza Vea,12,2025-02-18
Arroz,5.44,1.0,Vivanda,13,2025-02-18
Pan,3.19,0.5,Vivanda,14,2025-02-18
Pollo,16.19,1.5,Vivanda,15,2025-02-18
Huevos,11.29,1.0,Vivanda,16,2025-02-18
Aceite vegetal,13.59,1.0,Vivanda,17,2025-02-18
Azúcar,4.89,1.0,Vivanda,18,2025-02-18
