Nombre,Precio,Peso,Tienda,Id,FechaCreacion
Arroz,4.44,1.0,Wong,1,2025-02-15
Pan,2.79,0.5,Wong,2,2025-02-15
Pollo,14.19,1.5,Wong,3,2025-02-15
Huevos,9.79,1.0,Wong,4,2025-02-15
Aceite vegetal,11.99,1.0,Wong,5,2025-02-15
Azúcar,3.89,1.0,Wong,6,2025-02-15
Arroz,3.74,1.0,Plaza Vea,7,2025-02-15
Pan,2.79,0.5,Plaza Vea,8,2025-02-15
Pollo,11.79,1.5,Plaza Vea,9,2025-02-15
Huevos,8.19,1.0,Plaza Vea,10,2025-02-15
Aceite vegetal,9.59,1.0,Plaza Vea,11,2025-02-15
Azúcar,3.29,1.0,Plaza Vea,12,2025-02-15
Arroz,5.14,1.0,Vivanda,13,2025-02-15
Pan,3.59,0.5,Vivanda,14,2025-02-15
Pollo,16.59,1.5,Vivanda,15,2025-02-15
Huevos,11.39,1.0,Vivanda,16,2025-02-15
Aceite vegetal,13.59,1.0,Vivanda,17,2025-02-15
Azúcar,4.79,1.0,Vivanda,18,2025-02-15
